day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
138,2.62,7,0,1.5893780069510186,7.0,14,2,2.672612419124244,490.38,496,485,2.5784823886486854,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
139,2.62,7,0,1.5893780069510186,6.8,14,2,2.718042512920064,490.58,496,485,2.6270958591306153,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
140,2.62,7,0,1.5893780069510186,6.58,14,2,2.6348527434359283,490.8,496,485,2.5475077857324324,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
141,2.62,7,0,1.5893780069510186,6.36,13,2,2.616743575281214,491.02,496,486,2.551430171172111,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
142,2.62,7,0,1.5893780069510186,6.06,13,2,2.683357628655805,491.32,496,486,2.6452884569377626,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
143,2.6,7,0,1.616244071283537,5.84,11,2,2.613622085949548,491.56,496,487,2.5084347505883438,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
144,2.58,7,0,1.6173800936536034,5.72,11,1,2.7108248612869534,491.7,497,487,2.651530170467222,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
145,2.58,7,0,1.6173800936536034,5.48,11,1,2.6972397077042167,491.94,497,487,2.6604434186190575,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
146,2.58,7,0,1.6173800936536034,5.3,10,1,2.612763022595983,492.12,497,487,2.6079939902272047,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
147,2.58,7,0,1.6173800936536034,5.14,10,1,2.579431989364151,492.28,497,488,2.5236837345112697,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
148,2.58,7,0,1.6173800936536034,4.98,10,1,2.5911151172845277,492.44,497,488,2.5002856979610484,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
149,2.56,7,0,1.6432918679483892,4.8,10,1,2.563479777846623,492.64,497,488,2.396936820704483,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
150,2.56,7,0,1.6432918679483892,4.58,10,0,2.483332191936915,492.86,497,488,2.3819902499843266,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
151,2.56,7,0,1.6432918679483892,4.48,10,0,2.500938599316469,492.96,497,488,2.3815618267628236,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
152,2.56,7,0,1.6432918679483892,4.32,9,0,2.4111983640962444,493.12,497,488,2.3003105380423294,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
