day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
54,0.0,0,0,0.0,75.01,96,57,7.75833862252855,424.99,443,404,7.75833862252855,0.0743,16
55,0.0,0,0,0.0,71.86,91,52,7.646244209090531,428.14,448,409,7.6462442090905345,0.0743,16
56,0.0,0,0,0.0,68.86,87,52,7.41145714213453,431.14,448,413,7.411457142134533,0.0743,16
57,0.0,0,0,0.0,66.19,86,50,7.303928650895609,433.81,450,414,7.303928650895608,0.0743,16
58,0.0,0,0,0.0,63.67,79,48,6.986357557353612,436.33,452,421,6.986357557353618,0.0743,16
59,0.0,0,0,0.0,61.08,78,45,6.961191120647514,438.92,455,422,6.96119112064751,0.0743,16
60,0.0,0,0,0.0,58.51,78,42,6.873305117068734,441.49,458,422,6.873305117068728,0.0743,16
61,0.0,0,0,0.0,55.97,76,39,6.638508716556601,444.03,461,424,6.638508716556594,0.0743,16
62,0.0,0,0,0.0,53.56,73,38,6.510783595720489,446.44,462,427,6.510783595720492,0.0743,16
63,0.0,0,0,0.0,51.65,70,38,6.615523525402319,448.35,462,430,6.615523525402323,0.0743,16
64,0.0,0,0,0.0,49.48,70,35,6.483047045170889,450.52,465,430,6.483047045170886,0.0743,16
65,0.0,0,0,0.0,47.52,68,35,6.322127247160796,452.48,465,432,6.322127247160794,0.0743,16
66,0.0,0,0,0.0,45.47,64,34,5.933052427807388,454.53,466,436,5.93305242780738,0.0743,16
67,0.0,0,0,0.0,43.58,59,32,6.055600963595855,456.42,468,441,6.055600963595847,0.0743,16
