day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
94,15.165,0,499,85.30358305139963,18.58,0,31,5.388765533018602,466.255,1,492,82.14003225892652,0.9999983708048223,0.9998370804822417,1.0,1.625096566869889e-05,0.9972406395597306,0.9378394882840413,1.0,0.012175359270323913
95,15.16,0,499,85.30444679626075,17.86,0,30,5.276324287792567,466.98,1,494,82.26534834113595,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.9983641970601064,0.9378394882840413,1.0,0.010083766548778232
96,15.16,0,499,85.30444679626075,17.11,0,29,5.110625447272727,467.73,1,494,82.39186365157605,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.9983641970601064,0.9378394882840413,1.0,0.010083766548778232
97,15.155,0,499,85.30531023783847,16.435,0,27,4.931263713192108,468.41,1,495,82.50550095867675,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
98,15.155,0,499,85.30531023783847,15.83,0,27,4.761771977090992,469.015,1,495,82.60528396960143,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
99,15.155,0,499,85.30531023783847,15.26,0,26,4.6638134374023235,469.585,1,495,82.70339796632227,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
100,15.155,0,499,85.30531023783847,14.64,0,24,4.529124068086522,470.205,1,495,82.80820593304293,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
101,15.155,0,499,85.30531023783847,14.03,0,24,4.452891331037639,470.815,1,495,82.91486688618495,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
102,15.155,0,499,85.30531023783847,13.395,0,23,4.290807633855633,471.45,1,495,83.02150535709885,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
103,15.155,0,499,85.30531023783847,12.8,0,22,4.154068055176177,472.045,1,496,83.1223169363338,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
104,15.155,0,499,85.30531023783847,12.28,0,21,4.047655813917446,472.565,1,496,83.21115463855438,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.998319986169839,0.9378394882840413,1.0,0.010219125176486406
105,15.15,0,499,85.30617337614203,11.785,0,20,3.904484601070928,473.065,1,496,83.29466236737183,0.9999991854024113,0.9998370804822417,1.0,1.152014957944714e-05,0.9982733191190012,0.9378394882840413,1.0,0.010360085285993114
106,15.145,0,499,85.30703621118059,11.31,0,20,3.861145194246814,473.545,1,497,83.3785818695237,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
107,15.145,0,499,85.30703621118059,10.855,0,20,3.7475586693071934,474.0,1,497,83.45528095691724,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
108,15.14,0,499,85.30783983719458,10.4,0,19,3.6284747685120586,474.46,1,497,83.53315112387068,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
109,15.14,0,499,85.30783983719458,9.95,0,18,3.5497186525924582,474.91,1,497,83.61073901354992,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
110,15.14,0,499,85.30783983719458,9.51,0,18,3.520207280329159,475.35,1,497,83.68868789993101,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
111,15.14,0,499,85.30783983719458,9.105,0,18,3.4002623309971236,475.755,1,498,83.75643663857697,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
112,15.14,0,499,85.30783983719458,8.75,0,17,3.2926749828541473,476.11,1,498,83.81583004918684,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
113,15.14,0,499,85.30783983719458,8.395,0,17,3.2094356804483053,476.465,1,498,83.87636735100061,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
114,15.14,0,499,85.30783983719458,8.07,0,15,3.1455639978105054,476.79,1,498,83.93222858339264,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
115,15.14,0,499,85.30783983719458,7.735,0,15,3.074416233348927,477.125,1,498,83.9898855779491,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
116,15.14,0,499,85.30783983719458,7.49,0,15,3.015854254506027,477.37,1,498,84.03189810719192,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
117,15.14,0,499,85.30783983719458,7.195,0,15,2.981850459161898,477.665,1,498,84.08372696725282,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
118,15.14,0,499,85.30783983719458,6.915,0,15,2.9241285262776935,477.945,1,498,84.1315790172733,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
119,15.14,0,499,85.30783983719458,6.63,0,15,2.8519763049894196,478.23,1,499,84.17991679705914,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
120,15.14,0,499,85.30783983719458,6.36,0,14,2.7619816642345474,478.5,1,499,84.22523046710043,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
121,15.14,0,499,85.30783983719458,6.135,0,13,2.696876100883685,478.725,1,499,84.26316383150154,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
